Framework,Condition,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
freesurfercsrp,d,211417,wm,lh,8,350,Macro Dice,,0.9275269347394556,
freesurfercsrp,d,211720,wm,lh,8,350,Macro Dice,,0.897874073528822,
freesurfercsrp,d,210617,wm,lh,8,350,Macro Dice,,0.923596306963289,
freesurfercsrp,d,211215,wm,lh,8,350,Macro Dice,,0.9401708243976156,
freesurfercsrp,d,211922,gm,rh,8,360,Macro Dice,,0.9257228670207945,
freesurfercsrp,d,211417,gm,rh,8,360,Macro Dice,,0.9197816276763195,
freesurfercsrp,d,210617,gm,rh,8,360,Macro Dice,,0.9055224868325402,
freesurfercsrp,d,211114,gm,rh,8,360,Macro Dice,,0.9242363116857821,
freesurfercsrp,d,211720,gm,rh,8,360,Macro Dice,,0.8961347390166768,
freesurfercsrp,d,212015,gm,lh,8,400,Macro Dice,,0.9220489169048839,
freesurfercsrp,d,212217,gm,lh,8,400,Macro Dice,,0.906118761479125,
freesurfercsrp,d,211922,wm,rh,8,401,Macro Dice,,0.9274402134950772,
freesurfercsrp,d,211316,gm,rh,8,360,Macro Dice,,0.931408686646793,
freesurfercsrp,d,211114,wm,rh,8,401,Macro Dice,,0.9296480371988395,
freesurfercsrp,d,211417,wm,rh,8,401,Macro Dice,,0.9287224850882958,
freesurfercsrp,d,210617,wm,rh,8,401,Macro Dice,,0.903850383860237,
freesurfercsrp,d,212116,gm,lh,8,400,Macro Dice,,0.9165541619539306,
freesurfercsrp,d,211720,wm,rh,8,401,Macro Dice,,0.9029196035021751,
freesurfercsrp,d,212217,wm,lh,8,350,Macro Dice,,0.9181546722692746,
freesurfercsrp,d,212116,wm,lh,8,350,Macro Dice,,0.921997914709208,
freesurfercsrp,d,211316,wm,rh,8,401,Macro Dice,,0.9369883579661391,
freesurfercsrp,d,212015,wm,lh,8,350,Macro Dice,,0.931704526264422,
freesurfercsrp,d,211215,gm,rh,8,360,Macro Dice,,0.9258075457600402,
freesurfercsrp,d,212217,gm,rh,8,360,Macro Dice,,0.9178394882283127,
freesurfercsrp,d,212116,gm,rh,8,360,Macro Dice,,0.9181770449831349,
freesurfercsrp,d,212015,gm,rh,8,360,Macro Dice,,0.9130071086171982,
freesurfercsrp,d,212217,wm,rh,8,401,Macro Dice,,0.9218324639833899,
freesurfercsrp,d,212116,wm,rh,8,401,Macro Dice,,0.9256462472854811,
freesurfercsrp,d,211215,wm,rh,8,401,Macro Dice,,0.9344534187628434,
freesurfercsrp,d,212015,wm,rh,8,401,Macro Dice,,0.9263850893286658,
freesurfercsrp,d,214221,gm,lh,8,400,Macro Dice,,0.9052475098865218,
freesurfercsrp,d,214423,gm,lh,8,400,Macro Dice,,0.8990461991504504,
freesurfercsrp,d,214019,gm,lh,8,400,Macro Dice,,0.9259880694484315,
freesurfercsrp,d,214524,gm,lh,8,400,Macro Dice,,0.9189067926146703,
freesurfercsrp,d,213421,gm,lh,8,400,Macro Dice,,0.9302717225423419,
freesurfercsrp,d,214221,wm,lh,8,350,Macro Dice,,0.9118673605185342,
freesurfercsrp,d,214019,wm,lh,8,350,Macro Dice,,0.9318034772590159,
freesurfercsrp,d,214524,wm,lh,8,350,Macro Dice,,0.9258808630862745,
freesurfercsrp,d,212419,gm,lh,8,400,Macro Dice,,0.9144978307198175,
freesurfercsrp,d,214423,wm,lh,8,350,Macro Dice,,0.8944993714934757,
freesurfercsrp,d,212318,gm,lh,8,400,Macro Dice,,0.9233918632041848,
freesurfercsrp,d,213421,wm,lh,8,350,Macro Dice,,0.9344107972233139,
freesurfercsrp,d,214221,gm,rh,8,360,Macro Dice,,0.9126941528076951,
freesurfercsrp,d,214726,gm,lh,8,400,Macro Dice,,0.9141670165503917,
freesurfercsrp,d,214625,gm,lh,8,400,Macro Dice,,0.9261010378837903,
freesurfercsrp,d,214524,gm,rh,8,360,Macro Dice,,0.9219538250895983,
freesurfercsrp,d,214423,gm,rh,8,360,Macro Dice,,0.9301783042470918,
freesurfercsrp,d,212823,gm,lh,8,400,Macro Dice,,0.9300014282503737,
freesurfercsrp,d,214221,wm,rh,8,401,Macro Dice,,0.9252206997858711,
freesurfercsrp,d,212419,wm,lh,8,350,Macro Dice,,0.9184119762742262,
freesurfercsrp,d,214625,wm,lh,8,350,Macro Dice,,0.9238040830704658,
freesurfercsrp,d,212318,wm,lh,8,350,Macro Dice,,0.9284656621662043,
freesurfercsrp,d,214524,wm,rh,8,401,Macro Dice,,0.9297047118064155,
freesurfercsrp,d,214423,wm,rh,8,401,Macro Dice,,0.9284983827140428,
freesurfercsrp,d,214726,wm,lh,8,350,Macro Dice,,0.9212823246163039,
freesurfercsrp,d,214019,gm,rh,8,360,Macro Dice,,0.9114958995109029,
freesurfercsrp,d,213421,gm,rh,8,360,Macro Dice,,0.9112675730542203,
freesurfercsrp,d,212823,wm,lh,8,350,Macro Dice,,0.9369921415858806,
freesurfercsrp,d,214625,gm,rh,8,360,Macro Dice,,0.9263755524082173,
freesurfercsrp,d,212318,gm,rh,8,360,Macro Dice,,0.9277185215740498,
freesurfercsrp,d,214019,wm,rh,8,401,Macro Dice,,0.9102996083815668,
freesurfercsrp,d,212419,gm,rh,8,360,Macro Dice,,0.9022848324228611,
freesurfercsrp,d,213421,wm,rh,8,401,Macro Dice,,0.9212231913977965,
freesurfercsrp,d,212318,wm,rh,8,401,Macro Dice,,0.9362974211477664,
freesurfercsrp,d,214625,wm,rh,8,401,Macro Dice,,0.9350545855616401,
freesurfercsrp,d,214726,gm,rh,8,360,Macro Dice,,0.9277349239898781,
freesurfercsrp,d,212823,gm,rh,8,360,Macro Dice,,0.9174105694142349,
freesurfercsrp,d,212419,wm,rh,8,401,Macro Dice,,0.9096844082061892,
