Framework,Subject ID,surf_type,Hemisphere,Metric,Label,Score,Total Triangles
cortexode,214726,pial,lh,Hausdorff Distance,,4.637927845588064,
cortexode,214726,pial,lh,Self-Intersections (SIF),,1180,245440
cortexode,212823,pial,lh,Chamfer Distance,,0.9116379431933781,
cortexode,212823,pial,lh,Hausdorff Distance,,5.678497667887658,
cortexode,212823,pial,lh,Self-Intersections (SIF),,1618,247490
cortexode,236130,pial,lh,Chamfer Distance,,0.8670179386025008,
cortexode,236130,pial,lh,Hausdorff Distance,,6.558140161879058,
cortexode,236130,pial,lh,Self-Intersections (SIF),,2693,232046
cortexode,210011,pial,lh,Chamfer Distance,,0.8535022907403191,
cortexode,210011,pial,lh,Hausdorff Distance,,7.057388995985299,
cortexode,210011,pial,lh,Self-Intersections (SIF),,322,251289
cortexode,203923,pial,lh,Chamfer Distance,,0.8706456275719322,
cortexode,203923,pial,lh,Hausdorff Distance,,4.436999654878399,
cortexode,203923,pial,lh,Self-Intersections (SIF),,3795,248310
cortexode,201515,pial,lh,Chamfer Distance,,0.979741996896724,
cortexode,201515,pial,lh,Hausdorff Distance,,11.69803999975237,
cortexode,201515,pial,lh,Self-Intersections (SIF),,3005,254811
cortexode,213421,pial,lh,Chamfer Distance,,0.9041374990980355,
cortexode,213421,pial,lh,Hausdorff Distance,,5.548342649653324,
cortexode,213421,pial,lh,Self-Intersections (SIF),,940,250509
cortexode,283543,pial,lh,Chamfer Distance,,0.8632745163249036,
cortexode,283543,pial,lh,Hausdorff Distance,,4.561547826541922,
cortexode,283543,pial,lh,Self-Intersections (SIF),,1443,246314
cortexode,204319,pial,lh,Chamfer Distance,,0.8432037875524803,
cortexode,204319,pial,lh,Hausdorff Distance,,5.487872414040352,
cortexode,204319,pial,lh,Self-Intersections (SIF),,596,259509
cortexode,209935,pial,lh,Chamfer Distance,,0.887042606921938,
cortexode,209935,pial,lh,Hausdorff Distance,,4.453447000121738,
cortexode,209935,pial,lh,Self-Intersections (SIF),,1487,250099
cortexode,205826,pial,lh,Chamfer Distance,,0.9144819634021812,
cortexode,205826,pial,lh,Hausdorff Distance,,6.893459349775375,
cortexode,205826,pial,lh,Self-Intersections (SIF),,1042,245673
cortexode,201717,pial,lh,Chamfer Distance,,0.8448938605987562,
cortexode,201717,pial,lh,Hausdorff Distance,,4.448818121590815,
cortexode,201717,pial,lh,Self-Intersections (SIF),,1032,258895
cortexode,233326,pial,lh,Chamfer Distance,,0.8548036455513117,
cortexode,233326,pial,lh,Hausdorff Distance,,5.75670543199889,
cortexode,233326,pial,lh,Self-Intersections (SIF),,1486,256852
cortexode,207628,pial,lh,Chamfer Distance,,0.8987806220949677,
cortexode,207628,pial,lh,Hausdorff Distance,,5.466996352857433,
cortexode,207628,pial,lh,Self-Intersections (SIF),,950,262055
cortexode,212015,pial,lh,Chamfer Distance,,0.8894986803149448,
cortexode,212015,pial,lh,Hausdorff Distance,,4.770820326507948,
cortexode,212015,pial,lh,Self-Intersections (SIF),,2699,250934
cortexode,251833,pial,lh,Chamfer Distance,,0.8628401225896923,
cortexode,251833,pial,lh,Hausdorff Distance,,5.961625944508178,
cortexode,251833,pial,lh,Self-Intersections (SIF),,1490,264384
cortexode,207123,pial,lh,Chamfer Distance,,0.8758700381080919,
cortexode,207123,pial,lh,Hausdorff Distance,,8.468664664795606,
cortexode,207123,pial,lh,Self-Intersections (SIF),,109,276486
cortexode,211720,pial,lh,Chamfer Distance,,0.8845434463314075,
cortexode,211720,pial,lh,Hausdorff Distance,,6.242725296595475,
cortexode,211720,pial,lh,Self-Intersections (SIF),,1573,271231
cortexode,211215,pial,lh,Chamfer Distance,,0.8481485192090692,
cortexode,211215,pial,lh,Hausdorff Distance,,5.461197904279956,
cortexode,211215,pial,lh,Self-Intersections (SIF),,1034,279382
cortexode,268749,pial,lh,Chamfer Distance,,0.8991769397745598,
cortexode,268749,pial,lh,Hausdorff Distance,,5.236593051316594,
cortexode,268749,pial,lh,Self-Intersections (SIF),,3591,278329
cortexode,208327,pial,lh,Chamfer Distance,,0.838558257380942,
cortexode,208327,pial,lh,Hausdorff Distance,,5.239009106145231,
cortexode,208327,pial,lh,Self-Intersections (SIF),,543,287590
cortexode,200210,pial,lh,Chamfer Distance,,0.9296973658015449,
cortexode,200210,pial,lh,Hausdorff Distance,,7.06809349071625,
cortexode,200210,pial,lh,Self-Intersections (SIF),,2269,284817
cortexode,214423,pial,lh,Chamfer Distance,,0.8809333661844331,
cortexode,214423,pial,lh,Hausdorff Distance,,10.197691654718737,
cortexode,214423,pial,lh,Self-Intersections (SIF),,2322,290360
cortexode,270332,pial,lh,Chamfer Distance,,0.8592900303968338,
cortexode,270332,pial,lh,Hausdorff Distance,,5.219163807289177,
cortexode,270332,pial,lh,Self-Intersections (SIF),,1847,296441
cortexode,223929,pial,lh,Chamfer Distance,,0.872520592615653,
cortexode,223929,pial,lh,Hausdorff Distance,,6.201775727617598,
cortexode,223929,pial,lh,Self-Intersections (SIF),,2910,328291
cortexode,208428,pial,rh,Chamfer Distance,,0.8729894369326898,
cortexode,208428,pial,rh,Hausdorff Distance,,4.473152052643014,
cortexode,208428,pial,rh,Self-Intersections (SIF),,2098,182109
cortexode,205725,pial,rh,Chamfer Distance,,0.9126415143068751,
cortexode,205725,pial,rh,Hausdorff Distance,,3.998134258922536,
cortexode,205725,pial,rh,Self-Intersections (SIF),,1374,187116
cortexode,204420,pial,rh,Chamfer Distance,,0.893296012306897,
