Framework,Subject ID,surf_type,Hemisphere,Metric,Label,Score,Total Triangles
csrf,250932,pial,lh,Self-Intersections (SIF),,-1,211139
csrf,203923,pial,lh,Chamfer Distance,,0.8679101948149961,
csrf,211417,pial,lh,Chamfer Distance,,0.8733188576785951,
csrf,227432,pial,lh,Chamfer Distance,,0.913329394438579,
csrf,236130,pial,lh,Chamfer Distance,,0.8610263561743778,
csrf,201414,pial,lh,Hausdorff Distance,,7.45954778526665,
csrf,204622,pial,lh,Self-Intersections (SIF),,-1,243814
csrf,284646,pial,lh,Chamfer Distance,,0.8921903063668746,
csrf,239944,pial,lh,Self-Intersections (SIF),,-1,238308
csrf,257542,pial,lh,Chamfer Distance,,0.8898928335588219,
csrf,228434,pial,lh,Self-Intersections (SIF),,-1,211976
csrf,236130,pial,lh,Hausdorff Distance,,6.905070175830031,
csrf,275645,pial,lh,Self-Intersections (SIF),,-1,215959
csrf,200917,pial,lh,Chamfer Distance,,0.9082904642852276,
csrf,208226,pial,lh,Hausdorff Distance,,7.224596404569733,
csrf,210617,pial,lh,Chamfer Distance,,0.9098628887946795,
csrf,212217,pial,lh,Self-Intersections (SIF),,-1,213202
csrf,200614,pial,lh,Hausdorff Distance,,5.76648940358585,
csrf,214625,pial,lh,Self-Intersections (SIF),,-1,237784
csrf,221319,pial,rh,Chamfer Distance,,0.9051677552388384,
csrf,204420,pial,rh,Chamfer Distance,,0.8890308858068123,
csrf,268850,pial,lh,Chamfer Distance,,0.890578792157721,
csrf,280941,pial,lh,Self-Intersections (SIF),,-1,234171
csrf,200008,pial,lh,Chamfer Distance,,0.8685227408321092,
csrf,210617,pial,lh,Hausdorff Distance,,8.163495776983908,
csrf,245333,pial,lh,Self-Intersections (SIF),,-1,211128
csrf,283543,pial,lh,Chamfer Distance,,0.857764812277098,
csrf,208125,pial,lh,Chamfer Distance,,0.8537487348037494,
csrf,204521,pial,rh,Chamfer Distance,,0.8895493202310971,
csrf,217429,pial,lh,Self-Intersections (SIF),,-1,216190
csrf,268850,pial,lh,Hausdorff Distance,,6.763074057241715,
