Framework,Condition,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
csrp,a,203418,wm,lh,8,100,Hausdorff Distance,,4.558728071686821,
csrp,a,203418,wm,lh,8,100,Self-Intersections (SIF),,107,241000
csrp,a,203418,wm,lh,8,100,Macro Dice,,0.9102929041119031,
csrp,a,200109,wm,rh,8,100,Chamfer Distance,,0.7491663228413767,
csrp,a,200109,wm,rh,8,100,Hausdorff Distance,,3.7987290085844396,
csrp,a,200109,wm,rh,8,100,Self-Intersections (SIF),,180,257928
csrp,a,200109,wm,rh,8,100,Macro Dice,,0.921447817725138,
csrp,a,201111,gm,rh,8,40,Chamfer Distance,,0.9093833714842233,
csrp,a,201111,gm,rh,8,40,Hausdorff Distance,,5.946874818535232,
csrp,a,201111,gm,rh,8,40,Self-Intersections (SIF),,5581,262120
csrp,a,201111,gm,rh,8,40,Macro Dice,,0.8655055958678223,
csrp,a,204016,wm,lh,8,100,Chamfer Distance,,0.7326719168511846,
csrp,a,204016,wm,lh,8,100,Hausdorff Distance,,3.626531059413737,
csrp,a,204016,wm,lh,8,100,Self-Intersections (SIF),,0,257924
csrp,a,204016,wm,lh,8,100,Macro Dice,,0.9219859989622629,
csrp,a,200614,wm,rh,8,100,Chamfer Distance,,0.7696183084522144,
csrp,a,200614,wm,rh,8,100,Hausdorff Distance,,5.082050002713469,
csrp,a,200614,wm,rh,8,100,Self-Intersections (SIF),,24,249720
csrp,a,200614,wm,rh,8,100,Macro Dice,,0.9124936735320495,
csrp,a,202719,wm,lh,8,100,Chamfer Distance,,0.7280369296415328,
csrp,a,202719,wm,lh,8,100,Hausdorff Distance,,3.0701356400041235,
csrp,a,202719,wm,lh,8,100,Self-Intersections (SIF),,0,260952
csrp,a,202719,wm,lh,8,100,Macro Dice,,0.9204336978453483,
csrp,a,201515,gm,rh,8,40,Chamfer Distance,,1.0508786786815063,
csrp,a,201515,gm,rh,8,40,Hausdorff Distance,,7.0361426473613715,
csrp,a,201515,gm,rh,8,40,Self-Intersections (SIF),,13369,267028
csrp,a,201515,gm,rh,8,40,Macro Dice,,0.8756378273345824,
csrp,a,201818,gm,rh,8,40,Chamfer Distance,,0.9169907435204634,
csrp,a,201818,gm,rh,8,40,Hausdorff Distance,,5.601102285862454,
csrp,a,201818,gm,rh,8,40,Self-Intersections (SIF),,13532,219736
csrp,a,201818,gm,rh,8,40,Macro Dice,,0.8576092814414515,
csrp,a,200311,wm,rh,8,100,Chamfer Distance,,0.773344267375516,
csrp,a,200311,wm,rh,8,100,Hausdorff Distance,,6.8049768271212105,
csrp,a,200311,wm,rh,8,100,Self-Intersections (SIF),,0,253256
csrp,a,200311,wm,rh,8,100,Macro Dice,,0.9153907423850682,
csrp,a,203923,wm,lh,8,100,Chamfer Distance,,0.7531501700641382,
csrp,a,203923,wm,lh,8,100,Hausdorff Distance,,4.675527149834724,
csrp,a,203923,wm,lh,8,100,Self-Intersections (SIF),,105,266636
csrp,a,203923,wm,lh,8,100,Macro Dice,,0.9187526686730093,
csrp,a,204420,gm,rh,8,40,Chamfer Distance,,0.9046334400867715,
csrp,a,204420,gm,rh,8,40,Hausdorff Distance,,4.6208766402220975,
csrp,a,204420,gm,rh,8,40,Self-Intersections (SIF),,7271,216152
csrp,a,204420,gm,rh,8,40,Macro Dice,,0.8706774006033274,
csrp,a,204319,wm,lh,8,100,Chamfer Distance,,0.7352777991783688,
csrp,a,204319,wm,lh,8,100,Hausdorff Distance,,4.390315951524075,
csrp,a,204319,wm,lh,8,100,Self-Intersections (SIF),,89,276852
csrp,a,204319,wm,lh,8,100,Macro Dice,,0.9239936799312805,
csrp,a,204521,gm,rh,8,40,Chamfer Distance,,0.9146982417063814,
csrp,a,204521,gm,rh,8,40,Hausdorff Distance,,6.580540599738043,
csrp,a,204521,gm,rh,8,40,Self-Intersections (SIF),,9118,217280
csrp,a,204521,gm,rh,8,40,Macro Dice,,0.8742927261144375,
csrp,a,200917,wm,rh,8,100,Chamfer Distance,,0.770422755939788,
csrp,a,200917,wm,rh,8,100,Hausdorff Distance,,7.680000655179637,
csrp,a,200917,wm,rh,8,100,Self-Intersections (SIF),,79,258260
csrp,a,200917,wm,rh,8,100,Macro Dice,,0.9103300763187581,
csrp,a,201717,gm,rh,8,40,Chamfer Distance,,0.8997464048280817,
csrp,a,201717,gm,rh,8,40,Hausdorff Distance,,5.669693248317683,
csrp,a,201717,gm,rh,8,40,Self-Intersections (SIF),,10666,280796
csrp,a,201717,gm,rh,8,40,Macro Dice,,0.8575973046189354,
csrp,a,201414,wm,rh,8,100,Chamfer Distance,,0.7577572998685673,
csrp,a,201414,wm,rh,8,100,Hausdorff Distance,,5.373721247995981,
csrp,a,201414,wm,rh,8,100,Self-Intersections (SIF),,0,236720
csrp,a,201414,wm,rh,8,100,Macro Dice,,0.9273178155323454,
csrp,a,202113,gm,rh,8,40,Chamfer Distance,,0.9892126025982653,
csrp,a,202113,gm,rh,8,40,Hausdorff Distance,,6.643286141355114,
csrp,a,202113,gm,rh,8,40,Self-Intersections (SIF),,9906,268332
csrp,a,202113,gm,rh,8,40,Macro Dice,,0.8980757117422029,
csrp,a,203721,gm,rh,8,40,Chamfer Distance,,0.9991359873681576,
csrp,a,203721,gm,rh,8,40,Hausdorff Distance,,5.267269494802488,
csrp,a,203721,gm,rh,8,40,Self-Intersections (SIF),,13848,227544
csrp,a,203721,gm,rh,8,40,Macro Dice,,0.8726747924136392,
csrp,a,204622,gm,lh,8,40,Chamfer Distance,,0.8939369880059397,
csrp,a,204622,gm,lh,8,40,Hausdorff Distance,,6.95420509679189,
csrp,a,204622,gm,lh,8,40,Self-Intersections (SIF),,9557,261256
csrp,a,204622,gm,lh,8,40,Macro Dice,,0.8836500865178811,
csrp,a,200210,wm,rh,8,100,Chamfer Distance,,0.7646925696214099,
csrp,a,200210,wm,rh,8,100,Hausdorff Distance,,6.2658995962789845,
csrp,a,200210,wm,rh,8,100,Self-Intersections (SIF),,198,307584
csrp,a,200210,wm,rh,8,100,Macro Dice,,0.9151361563605634,
csrp,a,203418,gm,rh,8,40,Chamfer Distance,,0.8954555918792697,
csrp,a,203418,gm,rh,8,40,Hausdorff Distance,,6.094971782181017,
csrp,a,203418,gm,rh,8,40,Self-Intersections (SIF),,8655,240092
csrp,a,203418,gm,rh,8,40,Macro Dice,,0.8798782784030618,
csrp,a,201818,wm,rh,8,100,Chamfer Distance,,0.7476648590932236,
csrp,a,201818,wm,rh,8,100,Hausdorff Distance,,4.252251084220076,
csrp,a,201818,wm,rh,8,100,Self-Intersections (SIF),,57,219736
csrp,a,201818,wm,rh,8,100,Macro Dice,,0.9034476845556223,
csrp,a,204420,wm,rh,8,100,Chamfer Distance,,0.7550713945048143,
csrp,a,204420,wm,rh,8,100,Hausdorff Distance,,6.723091325780854,
csrp,a,204420,wm,rh,8,100,Self-Intersections (SIF),,69,216152
csrp,a,204420,wm,rh,8,100,Macro Dice,,0.9145768168847622,
csrp,a,205220,gm,lh,8,40,Chamfer Distance,,0.8854533091125043,
csrp,a,205220,gm,lh,8,40,Hausdorff Distance,,4.34870603547687,
csrp,a,205220,gm,lh,8,40,Self-Intersections (SIF),,11686,230064
csrp,a,205220,gm,lh,8,40,Macro Dice,,0.887769692736803,
csrp,a,204521,wm,rh,8,100,Chamfer Distance,,0.7564727553839998,
csrp,a,204521,wm,rh,8,100,Hausdorff Distance,,3.6338309717126442,
csrp,a,204521,wm,rh,8,100,Self-Intersections (SIF),,107,217280
csrp,a,204521,wm,rh,8,100,Macro Dice,,0.9267617833788476,
csrp,a,205725,gm,lh,8,40,Chamfer Distance,,0.9230013836286404,
csrp,a,205725,gm,lh,8,40,Hausdorff Distance,,6.2171810700357755,
csrp,a,205725,gm,lh,8,40,Self-Intersections (SIF),,7952,205120
csrp,a,205725,gm,lh,8,40,Macro Dice,,0.8675568226862951,
csrp,a,205119,gm,lh,8,40,Chamfer Distance,,0.91364436354848,
csrp,a,205119,gm,lh,8,40,Hausdorff Distance,,4.151169893786611,
csrp,a,205119,gm,lh,8,40,Self-Intersections (SIF),,8679,267204
csrp,a,205119,gm,lh,8,40,Macro Dice,,0.8742298575751225,
csrp,a,201111,wm,rh,8,100,Chamfer Distance,,0.7405432749227135,
csrp,a,201111,wm,rh,8,100,Hausdorff Distance,,4.446746662222079,
csrp,a,201111,wm,rh,8,100,Self-Intersections (SIF),,126,262120
