Framework,Case,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
csrp,separate,205826,gm,lh,4,100,Chamfer Distance,,5.264781530217523,
csrp,separate,205826,gm,lh,4,100,Hausdorff Distance,,7.933978291517808,
csrp,separate,205826,gm,lh,4,100,Self-Intersections (SIF),,9075,262968
csrp,separate,204622,gm,lh,4,100,Chamfer Distance,,5.306264067354364,
csrp,separate,204622,gm,lh,4,100,Hausdorff Distance,,7.730859121821232,
csrp,separate,204622,gm,lh,4,100,Self-Intersections (SIF),,7600,261244
csrp,separate,206222,gm,lh,4,100,Chamfer Distance,,5.306743145613102,
csrp,separate,206222,gm,lh,4,100,Hausdorff Distance,,6.725184045250725,
csrp,separate,206222,gm,lh,4,100,Self-Intersections (SIF),,9332,268836
csrp,separate,202113,gm,lh,4,100,Chamfer Distance,,5.353886663436092,
csrp,separate,202113,gm,lh,4,100,Hausdorff Distance,,6.877095740189368,
csrp,separate,202113,gm,lh,4,100,Self-Intersections (SIF),,8495,264984
csrp,separate,203923,gm,lh,4,100,Chamfer Distance,,5.246073786761807,
csrp,separate,203923,gm,lh,4,100,Hausdorff Distance,,6.521730944171667,
csrp,separate,203923,gm,lh,4,100,Self-Intersections (SIF),,13264,266672
csrp,separate,233326,gm,lh,4,100,Chamfer Distance,,5.356928316805846,
csrp,separate,233326,gm,lh,4,100,Hausdorff Distance,,7.802137137184412,
csrp,separate,233326,gm,lh,4,100,Self-Intersections (SIF),,8937,276060
csrp,separate,205119,gm,lh,4,100,Chamfer Distance,,5.122313095804512,
csrp,separate,205119,gm,lh,4,100,Hausdorff Distance,,7.050473670385501,
csrp,separate,205119,gm,lh,4,100,Self-Intersections (SIF),,6235,267144
csrp,separate,251833,gm,lh,4,100,Chamfer Distance,,5.379875706617218,
csrp,separate,251833,gm,lh,4,100,Hausdorff Distance,,7.772004097566776,
csrp,separate,251833,gm,lh,4,100,Self-Intersections (SIF),,8468,283860
csrp,separate,204319,gm,lh,4,100,Chamfer Distance,,5.077590824871554,
csrp,separate,204319,gm,lh,4,100,Hausdorff Distance,,6.94236022312979,
csrp,separate,204319,gm,lh,4,100,Self-Intersections (SIF),,4995,276852
csrp,separate,201717,gm,lh,4,100,Chamfer Distance,,5.155528369816833,
csrp,separate,201717,gm,lh,4,100,Hausdorff Distance,,6.725790783006369,
csrp,separate,201717,gm,lh,4,100,Self-Intersections (SIF),,8054,277080
csrp,separate,208428,gm,lh,4,100,Chamfer Distance,,5.053882836310505,
