Framework,Case,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
cortexode,,268850,gm,lh,0,90,Self-Intersections (SIF),,859,251496
cortexode,,290136,gm,lh,0,90,Chamfer Distance,,5.074341297025552,
cortexode,,290136,gm,lh,0,90,Hausdorff Distance,,6.433379653382755,
cortexode,,290136,gm,lh,0,90,Self-Intersections (SIF),,858,269124
cortexode,,263436,gm,lh,0,90,Chamfer Distance,,4.9715593489008665,
cortexode,,263436,gm,lh,0,90,Hausdorff Distance,,6.478873460031352,
cortexode,,263436,gm,lh,0,90,Self-Intersections (SIF),,1131,259936
cortexode,,257542,gm,lh,0,90,Chamfer Distance,,5.4315144280291054,
cortexode,,257542,gm,lh,0,90,Hausdorff Distance,,7.399534026245438,
cortexode,,257542,gm,lh,0,90,Self-Intersections (SIF),,1280,256292
cortexode,,208428,gm,lh,0,90,Chamfer Distance,,5.071959683866963,
cortexode,,208428,gm,lh,0,90,Hausdorff Distance,,6.692301519974714,
cortexode,,208428,gm,lh,0,90,Self-Intersections (SIF),,949,192996
cortexode,,205826,gm,lh,0,90,Chamfer Distance,,5.24983345054519,
cortexode,,205826,gm,lh,0,90,Hausdorff Distance,,8.07735057253392,
cortexode,,205826,gm,lh,0,90,Self-Intersections (SIF),,444,262968
cortexode,,202719,gm,lh,0,90,Chamfer Distance,,5.1362438062543365,
cortexode,,202719,gm,lh,0,90,Hausdorff Distance,,6.664131418704505,
cortexode,,202719,gm,lh,0,90,Self-Intersections (SIF),,395,260908
cortexode,,285446,gm,lh,0,90,Chamfer Distance,,5.187972878099252,
cortexode,,285446,gm,lh,0,90,Hausdorff Distance,,6.378914632379597,
cortexode,,285446,gm,lh,0,90,Self-Intersections (SIF),,967,270100
cortexode,,257845,gm,lh,0,90,Chamfer Distance,,5.098992005832558,
cortexode,,257845,gm,lh,0,90,Hausdorff Distance,,7.026575072470794,
cortexode,,257845,gm,lh,0,90,Self-Intersections (SIF),,786,263160
cortexode,,205119,gm,lh,0,90,Chamfer Distance,,5.035975452826031,
cortexode,,205119,gm,lh,0,90,Hausdorff Distance,,6.6774764294848055,
cortexode,,205119,gm,lh,0,90,Self-Intersections (SIF),,61,267144
cortexode,,286650,gm,lh,0,90,Chamfer Distance,,5.437268235287942,
cortexode,,286650,gm,lh,0,90,Hausdorff Distance,,7.253716181072658,
cortexode,,286650,gm,lh,0,90,Self-Intersections (SIF),,236,273692
cortexode,,206222,gm,lh,0,90,Chamfer Distance,,5.33055698392762,
cortexode,,206222,gm,lh,0,90,Hausdorff Distance,,6.842526721146837,
cortexode,,206222,gm,lh,0,90,Self-Intersections (SIF),,1267,268836
cortexode,,204622,gm,lh,0,90,Chamfer Distance,,5.284456732155576,
cortexode,,204622,gm,lh,0,90,Hausdorff Distance,,7.695062102141859,
cortexode,,204622,gm,lh,0,90,Self-Intersections (SIF),,457,261244
cortexode,,202113,gm,lh,0,90,Chamfer Distance,,5.38147460276403,
cortexode,,202113,gm,lh,0,90,Hausdorff Distance,,6.938246799518092,
cortexode,,202113,gm,lh,0,90,Self-Intersections (SIF),,1922,264984
cortexode,,298051,gm,lh,0,90,Chamfer Distance,,4.969415560901847,
cortexode,,298051,gm,lh,0,90,Hausdorff Distance,,6.542867828599868,
cortexode,,298051,gm,lh,0,90,Self-Intersections (SIF),,442,278796
cortexode,,209834,gm,lh,0,90,Chamfer Distance,,5.040468906471361,
cortexode,,209834,gm,lh,0,90,Hausdorff Distance,,7.401253185379978,
cortexode,,209834,gm,lh,0,90,Self-Intersections (SIF),,646,219812
cortexode,,203923,gm,lh,0,90,Chamfer Distance,,5.278361924772589,
cortexode,,203923,gm,lh,0,90,Hausdorff Distance,,6.198832053892052,
cortexode,,203923,gm,lh,0,90,Self-Intersections (SIF),,1488,266672
cortexode,,209329,gm,lh,0,90,Chamfer Distance,,5.256516372716501,
cortexode,,209329,gm,lh,0,90,Hausdorff Distance,,7.366404172839095,
cortexode,,209329,gm,lh,0,90,Self-Intersections (SIF),,1381,222240
cortexode,,299154,gm,lh,0,90,Chamfer Distance,,5.407695057369546,
cortexode,,299154,gm,lh,0,90,Hausdorff Distance,,7.334245627965666,
cortexode,,299154,gm,lh,0,90,Self-Intersections (SIF),,705,277280
cortexode,,204319,gm,lh,0,90,Chamfer Distance,,5.090638327677958,
cortexode,,204319,gm,lh,0,90,Hausdorff Distance,,6.829265114118745,
cortexode,,204319,gm,lh,0,90,Self-Intersections (SIF),,512,276852
cortexode,,233326,gm,lh,0,90,Chamfer Distance,,5.358794586543787,
cortexode,,233326,gm,lh,0,90,Hausdorff Distance,,7.720289583915336,
cortexode,,233326,gm,lh,0,90,Self-Intersections (SIF),,578,276060
